airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
5,1454,4,4,0,2,0,1,8.83,10,11139
5,1499,0,2,0,2,1,0,24.0,25,44280
1,763,3,2,0,4,0,1,16.67,45,6314
1,768,3,5,0,4,2,0,11.67,46,42724
5,1513,0,5,0,4,4,0,12.0,5,51817
3,486,3,0,0,2,4,1,6.08,19,5293
0,1143,0,0,1,3,2,1,10.5,25,2723
3,387,3,4,2,4,0,1,1.33,2,6553
5,1560,5,2,0,2,4,1,23.58,45,5949
2,1010,5,1,2,4,2,1,2.17,8,6520
5,1518,3,4,0,4,0,0,26.25,34,38099
2,1028,5,2,0,5,3,1,7.0,30,3574
1,724,5,0,0,2,2,1,3.75,21,2464
2,1104,5,0,0,2,3,1,7.08,15,4262
2,994,2,4,0,2,5,1,9.67,38,13050
1,860,5,1,0,5,4,1,14.33,32,4556
0,1201,2,1,0,2,0,1,12.0,21,3090
3,281,5,2,0,3,0,1,7.92,35,4056
5,1551,2,1,0,5,0,0,14.92,48,54777
1,729,2,2,0,4,0,1,17.92,39,6177
5,1525,3,2,0,5,5,1,5.17,42,4416
1,814,5,4,0,0,4,1,26.83,35,5898
5,1534,5,1,2,4,2,1,2.08,34,2339
5,1520,3,5,0,4,2,1,11.0,24,5656
4,1371,1,5,0,5,2,1,24.0,17,4048
5,1471,0,4,0,5,5,0,12.33,37,67004
2,945,2,1,0,0,3,1,7.25,14,5954
3,336,5,2,0,5,2,1,5.83,37,3536
1,845,4,0,0,4,1,0,17.42,9,55983
1,868,3,5,0,2,1,0,22.17,28,51595
3,431,0,4,0,2,3,1,7.42,47,1694
2,935,3,1,0,2,2,1,10.75,47,5029
5,1491,2,2,2,5,1,1,2.83,38,3134
5,1442,4,4,0,5,0,1,10.17,10,18249
1,841,2,2,0,5,5,0,27.17,22,59033
5,1459,4,0,0,4,3,1,18.33,5,13103
1,833,4,0,0,4,2,0,21.75,3,54863
1,905,3,4,1,4,1,1,22.17,4,13446
3,605,2,0,0,5,0,1,8.5,13,9735
5,1458,4,2,0,1,3,0,14.25,32,49207
4,1264,2,1,0,1,1,1,26.33,25,4149
3,234,5,1,0,0,1,1,8.92,48,1890
1,812,2,1,0,2,0,1,10.5,26,4230
1,783,5,2,0,4,3,1,16.08,45,3644
2,1090,5,0,0,5,0,1,8.92,33,6319
1,765,3,4,0,4,1,0,23.17,47,51595
5,1554,2,2,0,1,0,1,12.0,31,4496
1,771,3,1,2,4,2,1,2.5,13,6973
1,736,2,2,0,5,4,1,27.58,9,9538
5,1445,4,1,2,4,2,1,2.42,6,7539
1,860,5,1,0,2,0,0,8.25,15,54608
5,1459,4,0,0,5,0,1,7.33,14,11853
1,879,5,2,0,2,0,1,24.83,42,6544
5,1492,1,5,0,4,5,1,14.08,30,5037
5,1551,2,1,0,2,4,1,11.08,9,14880
1,819,4,4,2,0,5,1,2.75,13,7959
1,810,5,2,0,4,4,0,15.0,29,49725
1,761,1,2,0,2,4,1,26.17,24,6043
0,1203,2,5,0,4,1,1,11.75,43,1998
3,296,5,4,0,2,4,1,8.5,10,10826
5,1492,1,5,0,4,0,0,11.58,15,60260
1,828,3,5,0,4,2,0,12.0,4,39499
2,1064,3,4,0,2,0,1,7.17,34,8645
5,1490,1,4,1,5,0,1,11.92,21,6437
2,1062,4,1,0,2,2,1,11.67,35,6324
1,713,2,1,0,5,3,0,15.25,46,47408
1,840,4,1,0,5,5,0,14.25,18,50271
5,1472,2,2,1,4,1,1,16.75,48,8719
5,1525,3,2,0,4,4,0,15.92,14,61899
1,744,2,0,2,2,0,1,2.75,1,7425
1,824,5,1,0,5,3,1,16.0,28,5723
3,442,2,3,0,4,1,1,9.5,36,3996
3,658,2,0,0,5,4,1,8.08,14,5955
5,1472,2,2,2,2,0,1,2.75,6,7425
5,1543,2,0,0,1,3,0,17.5,24,39377
0,1209,0,4,0,2,4,1,8.17,41,3393
5,1473,0,2,0,2,4,0,23.92,22,69625
1,791,2,2,0,1,3,1,12.25,39,4209
3,157,1,4,0,2,4,1,8.33,31,6658
1,825,5,0,0,5,4,0,6.33,33,49725
5,1552,2,2,0,1,3,1,12.83,21,6172
1,817,5,1,0,5,3,1,13.33,21,5219
1,860,5,1,0,2,0,1,11.83,29,6544
5,1518,3,4,0,2,1,1,11.42,44,6287
1,816,1,2,0,2,0,0,26.42,33,43729
4,1285,0,1,0,3,2,1,19.25,26,5654
5,1475,0,2,0,2,3,0,26.08,29,56588
0,1159,0,2,0,3,4,1,10.0,26,3393
5,1540,5,0,2,2,2,0,2.25,24,34460
5,1556,5,5,0,5,1,0,23.33,49,61933
3,492,0,0,0,2,5,1,6.17,35,4190
5,1557,2,0,0,2,0,1,6.42,40,4496
5,1511,0,2,0,4,1,1,13.83,21,4672
5,1471,0,4,0,2,5,1,7.58,12,11205
3,532,0,5,0,1,4,1,8.17,48,4477
1,872,5,5,0,0,1,0,15.17,17,49613
5,1456,4,5,0,5,0,1,24.33,1,20507
3,107,0,1,2,4,2,1,3.0,22,4500
5,1479,1,5,0,2,0,1,22.75,47,4755
5,1444,4,5,0,2,0,1,20.75,45,8111
1,820,2,4,0,4,4,1,23.83,19,5805
3,207,4,1,0,2,5,1,9.5,15,7959
5,1508,3,1,0,0,5,1,8.0,47,4660
1,828,3,5,2,5,5,0,1.67,6,17738
1,788,5,5,0,2,2,0,22.25,41,41101
5,1520,3,5,0,0,2,0,16.92,44,39555
1,745,0,2,0,4,5,1,16.33,25,6158
5,1503,0,2,0,1,3,1,13.42,25,5322
1,765,3,4,0,5,1,1,11.83,27,8720
5,1515,3,5,0,5,1,0,23.67,8,51707
5,1506,0,1,0,5,3,0,14.25,37,37985
1,761,1,2,0,3,0,0,7.17,9,60260
1,798,2,0,0,2,0,0,28.0,28,42457
3,242,1,5,0,3,2,1,5.67,27,4071
1,890,0,2,0,3,5,1,5.17,5,7384
3,7,0,1,0,4,5,1,6.33,45,3153
5,1445,4,1,0,5,5,1,13.08,2,26597
5,1556,5,5,0,4,0,1,13.92,20,6450
4,1397,2,2,0,4,0,1,14.75,20,3737
1,712,3,0,0,0,4,0,22.5,45,51707
5,1458,4,2,0,2,1,0,26.33,13,55502
3,386,3,4,0,2,2,1,5.25,23,4506
1,748,2,4,2,0,0,0,2.75,43,32859
5,1551,2,1,0,4,1,0,6.08,43,65944
3,670,1,0,0,5,2,1,5.08,31,2051
1,761,1,2,0,2,5,0,25.0,26,49553
3,274,2,4,0,2,1,1,10.0,17,5918
5,1463,0,1,0,5,5,0,15.83,15,67004
2,1079,4,0,0,5,2,1,5.5,48,6294
0,1241,0,2,2,5,2,1,2.83,9,7489
5,1479,1,5,0,2,0,1,23.0,12,12276
5,1502,5,0,0,5,3,1,4.92,35,3334
5,1434,5,1,0,2,4,1,13.58,18,12420
1,810,5,2,0,4,0,1,17.67,13,11617
5,1544,2,5,0,2,4,1,23.25,19,6840
5,1488,1,2,2,2,2,0,2.75,10,27792
1,747,0,4,0,2,4,0,8.75,6,60508
5,1461,0,2,0,2,4,0,24.75,40,62188
5,1479,1,5,0,2,4,0,23.42,11,54896
1,841,2,2,0,5,3,0,28.33,24,47408
5,1459,4,0,0,4,0,0,17.33,43,88575
1,795,5,2,0,0,2,0,20.58,4,29764
1,724,5,0,0,0,0,0,20.92,2,59189
5,1457,5,0,0,5,2,1,7.08,49,7576
5,1435,5,4,1,5,3,1,11.42,40,6401
3,81,2,4,0,2,4,1,7.75,16,14744
5,1492,1,5,0,2,5,0,20.58,16,61873
0,1147,5,5,0,4,1,1,11.17,16,1890
1,762,2,5,0,4,5,0,11.42,32,50969
1,879,5,2,0,4,1,1,13.92,16,5992
1,819,4,4,2,0,5,1,2.75,26,4253
2,1059,3,1,0,4,2,1,4.92,44,5720
5,1499,0,2,0,2,4,0,24.0,3,63577
1,873,2,2,0,4,1,0,16.92,42,45257
2,1018,5,5,0,4,0,1,10.0,26,5102
2,1104,5,0,0,2,3,1,7.08,19,7522
0,1162,4,4,0,5,5,1,10.75,27,3727
5,1506,0,1,0,5,2,0,14.0,22,57081
1,870,5,1,0,2,1,0,12.0,7,49613
5,1532,5,2,0,4,0,0,18.25,4,84512
5,1454,4,4,0,5,0,1,10.5,44,6195
0,1225,2,0,0,5,1,1,9.17,15,8790
2,1051,3,5,0,1,4,1,9.67,35,5754
5,1553,2,5,0,2,4,1,19.0,13,13935
0,1135,3,2,0,4,1,1,12.75,42,1776
1,870,5,1,0,5,0,1,13.08,17,7342
5,1442,4,4,0,2,5,1,8.83,48,6067
3,641,1,2,0,3,5,1,8.08,44,1830
2,929,2,1,2,4,0,1,2.58,43,4501
1,879,5,2,0,0,1,0,17.67,34,49613
1,761,1,2,0,4,3,1,18.92,39,4294
5,1523,2,2,0,5,5,1,5.33,33,5542
5,1442,4,4,1,5,5,0,12.58,4,73455
2,1005,5,0,0,5,3,1,9.58,16,3916
1,908,3,1,2,1,1,1,1.5,41,1776
5,1456,4,5,0,5,0,1,24.33,46,6195
1,858,0,1,0,2,3,1,35.42,38,10363
1,745,0,2,0,4,5,0,17.42,9,54684
5,1518,3,4,0,1,0,0,23.33,43,38099
0,1137,2,4,0,3,4,1,16.0,4,5953
0,1208,2,1,0,2,4,1,9.33,6,5953
5,1473,0,2,0,2,4,1,23.92,27,8112
0,1208,2,1,1,5,4,1,13.08,18,2480
1,757,4,2,0,0,2,0,18.83,6,43910
0,1188,4,1,0,5,5,1,14.58,25,3727
5,1525,3,2,0,4,4,1,14.92,42,5960
3,13,4,1,0,0,3,1,6.58,39,3401
3,468,0,1,0,0,5,1,7.08,14,5178
1,849,4,2,0,4,2,0,17.33,47,53743
1,771,3,1,0,0,4,1,29.5,48,6312
1,862,0,5,0,0,4,0,17.5,9,60508
2,995,1,1,0,2,2,1,13.58,31,4827
1,795,5,2,1,5,3,1,28.25,27,5857
5,1457,5,0,0,5,2,0,8.75,28,59021
1,871,2,4,0,2,0,0,7.83,49,42457
1,824,5,1,0,5,0,1,17.42,15,10143
4,1343,4,5,2,5,1,1,2.25,5,6488
1,716,1,4,1,5,0,1,12.33,18,6237
0,1217,2,2,0,3,5,1,6.42,41,2409
1,815,5,4,0,5,2,0,14.17,22,50957
3,261,1,4,2,4,2,1,2.83,25,3093
5,1492,1,5,0,4,4,0,11.5,38,55377
0,1162,4,4,0,3,2,1,15.67,21,3014
1,791,2,2,0,4,0,0,16.17,39,42457
5,1559,2,4,0,2,0,0,8.92,26,54777
5,1481,1,0,0,4,0,0,20.33,16,44144
4,1317,0,1,2,1,1,1,1.08,37,1606
1,705,4,4,0,4,0,1,22.5,7,13524
3,492,0,0,2,0,3,1,1.17,14,4863
3,120,2,1,0,0,4,1,6.58,5,9373
3,516,2,5,2,5,5,1,2.25,43,6937
3,32,2,1,0,4,5,1,4.83,19,4246
1,722,1,1,2,4,2,1,2.67,10,11448
5,1470,2,4,0,5,5,0,12.67,10,53164
1,888,0,2,2,5,3,1,1.42,32,1977
5,1520,3,5,0,4,1,1,11.25,33,6287
5,1476,5,1,2,4,1,0,2.08,27,23898
5,1492,1,5,0,4,0,1,13.75,45,6437
3,117,2,0,0,5,5,1,7.25,45,6764
5,1526,0,2,0,0,2,1,19.75,23,3346
5,1496,0,4,0,2,4,0,11.42,49,51817
3,295,3,1,0,0,0,1,8.08,46,1755
2,1067,4,2,0,1,1,1,14.17,12,13386
1,789,3,1,0,2,0,0,13.0,46,38043
5,1449,4,2,0,4,0,1,13.92,4,11675
1,833,4,0,0,4,0,0,22.17,5,52287
5,1479,1,5,0,1,3,0,11.33,49,41064
1,846,4,5,1,0,0,1,15.58,46,7474
5,1524,3,0,0,5,0,0,9.25,18,56702
1,723,2,2,0,2,0,0,24.67,5,42457
2,975,2,4,0,2,5,1,5.92,47,5584
5,1465,0,1,0,5,5,0,15.0,13,74844
5,1522,3,0,0,4,0,0,19.92,17,38099
2,1103,3,0,0,5,5,1,7.75,33,4165
0,1137,2,4,0,2,3,1,8.17,31,2050
5,1496,0,4,0,1,3,0,23.33,28,43697
1,765,3,4,0,4,5,1,23.92,30,5279
2,1001,5,1,0,2,4,1,10.42,30,5165
5,1518,3,4,0,5,0,1,14.33,45,5441
3,409,1,4,0,2,2,1,7.75,38,5590
5,1511,0,2,0,3,2,0,5.92,31,50473
5,1472,2,2,2,2,0,1,2.75,47,4501
1,821,5,4,0,2,2,1,9.42,8,15393
3,148,5,5,2,5,2,1,2.08,21,2339
3,226,0,1,0,2,2,1,11.25,5,11216
5,1520,3,5,0,4,4,0,12.08,25,48851
4,1387,2,1,0,5,1,1,15.0,41,5107
5,1553,2,5,0,4,1,0,11.0,15,57992
5,1445,4,1,0,5,5,1,14.08,5,11675
3,483,0,1,0,0,5,1,6.25,2,9289
1,735,2,4,0,5,5,0,14.75,36,29776
3,361,1,2,0,5,4,1,5.92,46,2359
5,1445,4,1,0,5,5,1,15.67,3,24654
3,414,4,5,0,1,1,1,6.58,6,6489
5,1490,1,4,0,5,5,1,10.0,25,8233
2,1040,0,4,0,5,2,1,12.0,4,7487
5,1545,5,1,0,2,3,0,11.0,41,45805
5,1513,0,5,0,5,1,0,25.42,12,44280
3,129,5,2,0,5,1,1,6.58,20,3543
1,786,5,1,0,5,0,1,16.5,30,3633
2,1067,4,2,2,5,5,1,2.83,7,7958
5,1459,4,0,0,5,0,0,7.33,38,60978
1,784,0,2,0,4,1,1,15.75,39,3720
5,1459,4,0,0,4,1,1,18.58,40,5660
3,146,4,2,2,2,2,1,2.5,28,3999
5,1490,1,4,0,2,5,1,8.33,28,5037
5,1559,2,4,0,5,1,1,12.75,18,4979
4,1313,3,5,2,5,2,1,2.08,35,2276
5,1445,4,1,0,5,5,0,15.67,41,50271
3,261,1,4,2,4,2,1,2.83,13,7562
5,1436,0,4,1,5,1,1,8.75,48,7416
1,824,5,1,0,5,3,1,16.08,46,4447
4,1383,2,1,2,4,1,1,2.92,20,3251
1,889,3,5,0,0,2,1,19.17,30,6128
5,1540,5,0,0,4,1,1,19.25,48,3998
5,1501,0,4,0,2,4,1,7.33,19,6271
5,1500,5,1,2,4,0,1,1.83,30,2074
4,1418,2,2,0,2,0,1,23.08,39,3569
5,1434,5,1,0,2,2,1,11.0,31,6156
5,1520,3,5,0,0,2,1,15.08,8,10438
0,1139,1,5,0,4,2,1,10.92,13,7353
2,964,0,2,0,3,1,1,8.0,16,3336
5,1481,1,0,0,5,2,0,9.42,32,60160
5,1469,0,5,0,1,5,1,10.75,33,6568
2,1022,5,4,0,0,2,1,7.0,15,5569
5,1524,3,0,0,2,1,1,26.92,36,4359
5,1522,3,0,0,5,1,0,9.83,42,79349
3,239,0,1,0,2,2,1,11.0,2,14838
1,843,1,4,0,5,5,0,11.83,13,51057
2,1039,4,5,0,0,0,1,15.0,11,6488
5,1545,5,1,0,2,0,0,11.0,44,54608
2,1012,5,4,0,3,3,1,12.67,46,5577
5,1550,5,4,0,2,1,1,7.58,17,10899
5,1531,5,0,0,5,0,1,7.58,7,11129
3,222,4,0,0,5,3,1,7.33,24,11112
5,1537,5,2,0,2,4,1,22.33,38,5949
1,857,2,1,0,4,4,1,26.17,46,6946
3,403,1,4,2,4,5,1,2.08,47,3572
3,137,4,1,0,4,3,1,6.42,22,5655
1,765,3,4,2,0,2,0,2.5,31,24122
5,1449,4,2,0,4,5,1,16.83,8,11675
4,1271,4,4,2,0,5,1,2.75,1,20874
2,1036,5,1,0,4,4,1,5.83,41,5667
5,1532,5,2,0,5,1,0,26.67,41,57453
3,114,3,0,0,5,4,1,8.0,19,5293
1,845,4,0,0,5,0,0,28.58,3,62098
3,225,5,0,0,5,1,1,6.08,47,1890
2,997,1,0,0,2,0,1,5.92,18,4612
5,1499,0,2,0,4,1,1,12.92,47,4672
1,705,4,4,1,5,5,1,11.75,6,12894
5,1486,1,1,0,4,3,1,26.75,21,4086
5,1522,3,0,0,5,2,0,7.75,26,54115
1,903,0,0,0,4,2,1,17.75,27,4105
5,1467,0,4,0,2,3,0,7.25,44,56588
3,404,1,0,0,5,4,1,8.25,8,5042
2,1101,2,0,0,5,5,1,7.08,44,5323
5,1495,5,1,0,0,2,0,6.67,46,53152
3,387,3,4,2,4,0,1,1.33,13,4453
5,1543,2,0,0,1,3,1,17.5,6,9840
1,840,4,1,0,3,0,1,17.17,15,16569
5,1508,3,1,0,5,5,0,17.0,6,58315
0,1141,3,0,0,3,5,1,10.25,23,2250
3,127,2,2,2,5,3,1,2.33,13,5955
3,427,2,0,0,2,0,1,6.67,18,3253
0,1159,0,2,0,3,4,1,10.0,43,3393
1,745,0,2,0,4,1,0,15.08,3,61516
1,730,2,1,0,2,3,1,11.67,12,9170
1,860,5,1,0,2,3,1,11.33,10,7584
1,871,2,4,0,4,1,0,24.25,22,45257
2,1051,3,5,0,1,5,1,5.92,35,4165
3,631,0,4,0,2,2,1,8.0,45,4071
3,120,2,1,2,4,3,1,2.25,35,2098
3,204,2,5,0,1,3,1,9.08,12,8895
1,873,2,2,0,4,0,0,17.17,11,42457
5,1487,2,1,2,4,1,0,2.75,21,27864
5,1513,0,5,0,4,4,0,12.0,37,51817
1,815,5,4,0,5,3,1,11.58,47,3402
5,1465,0,1,0,2,5,0,10.67,18,67004
2,1050,3,1,0,5,4,1,15.25,29,5292
5,1501,0,4,0,2,2,1,8.58,45,4111
3,608,4,0,0,2,2,1,6.33,1,6977
5,1486,1,1,0,5,5,1,13.17,49,8233
1,820,2,4,0,4,1,0,25.92,6,45257
5,1461,0,2,0,2,4,0,24.75,23,62188
5,1555,5,5,0,0,3,0,13.83,21,45805
1,846,4,5,0,4,5,1,14.75,3,12054
1,857,2,1,0,2,4,1,11.42,4,12150
3,611,4,1,0,2,1,1,9.67,24,6489
5,1444,4,5,0,5,0,0,26.25,9,60978
5,1558,5,4,0,2,4,0,9.17,7,69997
4,1294,4,1,0,2,2,1,11.33,49,8016
1,772,2,4,0,5,5,0,15.75,16,41113
0,1168,5,5,0,4,3,1,12.58,48,2105
5,1550,5,4,0,2,0,0,8.25,33,69168
5,1469,0,5,0,1,5,0,10.75,29,74956
1,867,2,5,0,1,1,1,10.58,6,9840
1,853,3,0,0,5,0,0,10.25,47,44546
4,1310,4,5,0,4,5,1,10.67,11,7958
5,1522,3,0,0,4,1,0,19.92,36,41314
1,761,1,2,0,5,3,1,6.58,37,5239
5,1463,0,1,0,5,1,0,12.25,19,60396
2,1108,4,0,0,5,1,1,9.83,28,6985
3,239,0,1,0,4,2,1,4.75,33,3245
5,1480,5,4,2,4,1,0,2.08,36,23898
5,1459,4,0,0,5,3,1,7.58,48,5632
2,1010,5,1,0,5,0,1,15.42,5,5102
1,850,5,5,0,4,1,0,14.08,5,70881
5,1442,4,4,1,2,1,1,33.67,45,15899
5,1529,3,1,0,5,2,1,16.08,13,11488
1,716,1,4,0,5,0,1,10.17,19,6623
5,1524,3,0,0,5,1,0,9.67,42,77355
1,864,2,2,0,0,5,1,18.92,31,5231
5,1546,2,2,0,1,0,0,14.08,6,57017
5,1442,4,4,0,4,1,0,23.67,29,55983
4,1371,1,5,0,5,2,1,24.0,42,4827
2,1098,0,4,0,0,2,1,5.75,24,4028
3,527,5,2,0,5,1,1,4.75,39,5623
5,1550,5,4,0,5,0,0,11.67,10,87060
1,743,0,0,0,5,5,1,8.25,36,6578
5,1558,5,4,0,5,3,0,12.5,46,58125
5,1522,3,0,0,5,2,0,7.75,23,62067
5,1520,3,5,0,2,4,1,19.33,49,7767
2,1119,0,5,0,4,3,1,11.75,39,4403
3,179,4,2,0,5,3,1,6.17,40,2436
2,929,2,1,2,4,0,1,2.75,47,4501
5,1524,3,0,2,0,2,0,2.25,10,38648
1,862,0,5,0,4,5,0,12.08,21,54684
5,1469,0,5,0,4,1,1,12.75,30,6161
1,760,1,5,2,5,2,0,2.83,37,27792
1,704,2,1,0,5,5,0,13.25,42,59033
2,995,1,1,0,2,2,1,11.58,26,4827
1,833,4,0,0,5,2,1,7.92,19,4960
1,747,0,4,0,5,1,0,13.17,3,65445
5,1559,2,4,0,1,3,0,21.5,36,51697
5,1460,2,4,2,4,0,1,2.75,19,4501
5,1458,4,2,0,4,0,0,15.25,45,52287
1,745,0,2,0,4,5,0,16.33,2,59265
1,760,1,5,0,2,3,0,23.0,25,51345
0,1208,2,1,1,5,4,1,13.08,21,2480
3,408,1,2,2,5,2,1,2.75,32,2750
1,858,0,1,0,2,5,1,11.83,39,6578
5,1441,2,1,0,0,5,0,5.5,48,59033
1,771,3,1,0,3,0,1,17.67,35,6734
3,636,4,4,0,2,1,1,7.67,6,9907
5,1467,0,4,0,2,5,1,7.92,22,6568
1,862,0,5,0,4,5,1,12.08,7,9277
3,481,3,5,0,3,5,1,4.5,30,3610
5,1449,4,2,1,4,5,0,16.42,33,64831
5,1552,2,2,0,1,0,0,12.92,48,64969
1,849,4,2,0,1,1,0,14.08,33,55087
1,818,5,1,0,5,3,1,15.08,36,5219
